character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
神,shen2,9,17382,4658,0.5773139745916516,7823,2645,2436,4407,3535,1187,24.371,12.902,11.656,21.29,21.042,13.189,17.408,4.734993394339413,820.7443421890374,3.085263277407019,3.125,3.2,3.4
沈,shen3,7,23571,11299,0.3519357613994838,3027,2813,3733,7524,9366,8408,9.43,13.722,17.861,36.348,55.75,93.422,37.756,4.411661052766046,49.326979349552715,4.298199135392434,3.3125,3.1,3
慎,shen4,13,45927,17336,0.45193873196022954,28430,11503,9223,6772,4967,2217,88.567,56.112,44.129,32.715,29.565,24.633,45.954,4.328327404379114,32.09147678673638,4.480283850971932,3.125,3.6,3.5
升,sheng1,4,1096255,90851,0.8469370047830607,330536,203052,207176,196734,167289,82098,1029.707,990.498,991.273,950.406,995.768,912.2,978.309,3.0090802542426376,216.27983253265418,3.6629805821297663,3.5,3.4,3.6
生,sheng1,5,9911275,727828,0.8631786909103145,4961270,2464187,1670612,927582,474682,137558,15455.67,12020.424,7993.359,4481.072,2825.488,1528.422,7384.073,2.1316452074149312,4904.46515277215,2.309319805061995,3.3125,3.4,3.1
声,sheng1,7,256071,44259,0.7052642093696934,118482,50594,45201,40004,31189,15329,369.103,246.8,216.273,193.256,185.649,170.322,230.234,3.635948308111565,936.7624266044131,3.0279071721572794,3.0625,3.1,3.2
笙,sheng1,11,4748,1244,0.5847797062750334,952,447,546,821,1884,1363,2.966,2.18,2.612,3.966,11.214,15.144,6.347,5.133889960155623,4.37318721743101,5.26976802708798,3.5,3.6,3.4
绳,sheng2,11,1251,358,0.5550031075201989,467,190,207,250,378,111,1.455,0.927,0.99,1.208,2.25,1.233,1.344,5.630042392653947,46.240023666660235,4.325689893482372,2.1875,2.6,2.6
省,sheng3,9,71768,30130,0.4086243105850949,37049,21114,19144,15090,7373,2113,115.417,102.995,91.598,72.899,43.887,23.478,75.046,4.118923624788029,298.1484697060318,3.524113214449633,2.8125,3.1,2.8
圣,sheng4,5,829019,217324,0.5846027545460715,354411,173691,145529,121961,131019,120086,1104.084,847.273,696.311,589.184,779.875,1334.289,891.836,3.049228306885279,94.2164599049475,4.021287969388782,3.9375,4,3.8
胜,sheng4,9,4863900,771352,0.7262404591666886,1504255,1239176,1271968,837097,569496,212465,4686.153,6044.761,6085.971,4043.947,3389.857,2360.722,4435.235,2.352985456098167,244.2553684088673,3.6103814775470733,4.125,3.4,3.5
晟,sheng4,10,138483,14228,0.8136610984146525,2648,3679,12532,26530,45242,62051,8.249,17.946,59.962,128.164,269.298,689.456,195.513,3.7066087142884765,0,6,4.375,3.8,3.7
盛,sheng4,11,1069196,162171,0.7366000550607577,362579,178296,195583,196885,184046,114673,1129.53,869.737,935.804,951.135,1095.512,1274.144,1042.644,2.9814476193433945,147.78800331847737,3.8274320842647636,4.3125,4.1,3.8
嵊,sheng4,13,85,13,0.7346938775510204,9,13,18,29,15,14,0.028,0.063,0.086,0.14,0.089,0.156,0.094,5.960982678002588,0.6431157672692661,5.784331836860114,3.0625,2.9,3.2
师,shi1,6,110263,33800,0.5307608476846934,31120,19333,20673,27116,30632,15049,96.947,94.307,98.914,130.995,182.333,167.211,128.451,3.8878945903213884,517.5152579215785,3.2852384594607633,3.1875,3.2,3.3
诗,shi1,8,456531,817526,-0.28334289596148365,184409,99502,94148,123497,347804,424871,574.483,485.376,450.469,596.604,2070.262,4720.789,1482.997,2.8285669770116835,170.29705517290168,3.766250103077409,3.875,4,3.1
施,shi1,9,19144,38530,-0.33613066546450743,4048,3147,3649,11790,21311,13741,12.611,15.351,17.459,56.957,126.851,152.678,63.651,4.189424753210144,285.5434006675542,3.5428095892535847,3.3125,3.4,3
湿,shi1,12,128,73,0.2736318407960199,58,24,9,38,51,21,0.181,0.117,0.043,0.184,0.304,0.233,0.177,5.929223537156565,104.05613114416725,3.9785785968098706,2,2.5,2.4
