character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
岱,dai4,8,23025,9463,0.4174464417631125,7838,3365,4339,5498,6661,4795,24.417,16.415,20.761,26.56,39.649,53.278,30.18,4.506123889147177,7.2028965934157805,5.086032763176809,4.25,3.1,3.2
玳,dai4,9,355,706,-0.3308199811498586,213,70,59,160,217,340,0.664,0.341,0.282,0.773,1.292,3.778,1.188,5.659952682338607,6.045288212331101,5.152101235845648,3.9375,3.5,3.2
带,dai4,9,11112,110552,-0.8173329826407154,65177,23892,14245,11982,5460,801,203.044,116.546,68.158,57.884,32.5,8.9,81.172,4.085276142521407,733.602155724052,3.133947801531582,2.5625,2.9,2.7
戴,dai4,17,4099,4087,0.0014659174199853407,1452,767,755,1554,1980,1681,4.523,3.741,3.612,7.507,11.786,18.678,8.308,5.031143625385308,87.27080961843942,4.054182890052424,3.125,3.1,2.9
黛,dai4,17,217,12643,-0.9662519440124416,1930,1072,1321,2838,4079,1629,6.012,5.229,6.321,13.71,24.28,18.1,12.275,4.8769654702464935,5.402172445061836,5.193672632139691,4.125,3.2,3.5
丹,dan1,4,303899,3630777,-0.8455278147425608,101608,123218,314385,1552373,1459742,382912,316.536,601.063,1504.234,7499.386,8688.94,4254.578,3810.79,2.418871033624847,71.38585016688855,4.140346320474481,4.5,3.7,3.2
单,dan1,8,11494,49266,-0.6216589861751152,3103,2116,3398,27998,21163,3036,9.667,10.322,16.258,135.256,125.97,33.733,55.201,4.250255956839869,627.2951193944422,3.201836313876763,3.0625,2.7,3.2
眈,dan1,9,9,11,-0.1,1,1,3,10,5,0,0.003,0.005,0.014,0.048,0.03,0,0.017,5.992679047077256,1.993658878534725,5.523797688164724,2.6875,2.5,3.2
聃,dan1,11,3963,3750,0.027615713730066122,32,153,669,3114,2589,1158,0.1,0.746,3.201,15.043,15.411,12.867,7.895,5.0508540475800565,0,6,3.5625,3.3,3.2
儋,dan1,15,33,49,-0.1951219512195122,6,5,15,19,25,12,0.019,0.024,0.072,0.092,0.149,0.133,0.082,5.9657727392294495,0,6,3.125,2.7,3
旦,dan4,5,108972,48912,0.38040586759899675,49144,21286,18654,29196,32981,5557,153.097,103.834,89.254,141.043,196.315,61.744,124.215,3.902343642155788,69.64943759526152,4.150891291002212,3.75,3.1,3.3
诞,dan4,8,516,325,0.22711058263971462,38,29,62,282,293,137,0.118,0.141,0.297,1.362,1.744,1.522,0.864,5.729554091982037,37.81520711543285,4.410998092127136,3.25,3.3,3.1
淡,dan4,11,3313,9551,-0.48491915422885573,5907,2407,1664,1403,1119,388,18.402,11.741,7.962,6.778,6.661,4.311,9.309,4.98678346037556,101.29073334490941,3.9901637078270045,2.9375,2.8,3
澹,dan4,16,161,160,0.003115264797507788,38,8,31,75,103,66,0.118,0.039,0.148,0.362,0.613,0.733,0.336,5.874193541860473,1.0932968043577524,5.679169189551389,3.6875,3,3
铛,dang1,11,324,355,-0.045655375552282766,28,6,32,194,261,158,0.087,0.029,0.153,0.937,1.554,1.756,0.753,5.756218083906205,1.672100994900092,5.5731471312642675,2.4375,2.6,2.9
党,dang3,10,81970,25894,0.519876881999555,23293,29903,34972,13788,4804,1093,72.564,145.868,167.33,66.609,28.595,12.144,82.185,4.0799549790522605,754.6320413137569,3.121689634828123,3.3125,3.3,3.2
档,dang4,10,577,777,-0.14771048744460857,215,151,177,410,330,69,0.67,0.737,0.847,1.981,1.964,0.767,1.161,5.665345233116758,25.210138076955232,4.581530691151767,2.625,2.7,2.6
刀,dao1,2,1470,897,0.2420785804816223,703,267,364,445,437,152,2.19,1.302,1.742,2.15,2.601,1.689,1.946,5.5307672574933875,108.62225309177906,3.960101276016135,1.8125,1.9,2.6
叨,dao1,5,239,78,0.5078864353312302,69,17,28,89,96,18,0.215,0.083,0.134,0.43,0.571,0.2,0.272,5.8955128886876045,12.605069038477616,4.866299250065495,1.75,2.1,2.1
岛,dao3,7,3673,442,0.7851761846901579,234,334,715,1597,948,200,0.729,1.629,3.421,7.715,5.643,2.222,3.56,5.341035157335565,128.94471133748786,3.8862413912971348,2.75,2.8,2.8
道,dao4,12,1654721,610386,0.46105327474596125,1005755,497101,386257,216697,116269,43974,3133.193,2424.883,1848.12,1046.845,692.077,488.6,1605.62,2.7940868310265574,1601.3582605004729,2.7952403764144402,3.875,3.8,3.4
的,de,8,5522,18104,-0.5325488868196055,12597,3435,2808,2159,2146,492,39.243,16.756,13.435,10.43,12.774,5.467,16.351,4.760675490212203,48866.12259072756,1.3109832324831727,2.125,2.5,2.2
得,de2,11,561013,148359,0.5817173499940793,291919,153902,117367,78137,48710,19570,909.405,750.741,561.565,377.473,289.94,217.444,517.761,3.285032681241487,2977.433067726521,2.526012155056037,3.1875,3.4,3.3
德,de2,15,11382591,3034488,0.579042606342103,6883894,3055506,2175625,1243788,737643,317369,21445.153,14904.907,10409.689,6008.638,4390.732,3526.322,10114.24,1.9950238084503562,509.54062240743957,3.291969696504581,4.8125,4.5,3.6
灯,deng1,6,61854,15226,0.6049299429164504,25179,13616,12787,13054,9738,2726,78.439,66.42,61.182,63.063,57.964,30.289,59.56,4.217814133507984,193.96371540841068,3.710046207428196,2.8125,3.3,2.9
登,deng1,12,904287,346862,0.44553046839345273,471509,236894,219563,161076,119630,42434,1468.875,1155.58,1050.541,778.145,712.083,471.489,939.452,3.026663365628869,133.06065224801117,3.8726986719553986,3.6875,3.3,3.7
等,deng3,12,2886,7075,-0.4205401064150186,2885,1354,1470,2189,1755,305,8.988,6.605,7.033,10.575,10.446,3.389,7.839,5.053596866100945,2081.379869190253,2.6814400432957894,2.625,3,2.5
邓,deng4,4,15651,11294,0.16169975876786047,8365,2493,2952,5320,5367,2492,26.059,12.161,14.124,25.7,31.946,27.689,22.947,4.620748885800681,54.986398101522255,4.251917472046926,3.25,3.1,2.8
堤,di1,12,3968,1198,0.5361982191250484,1379,731,864,1026,771,416,4.296,3.566,4.134,4.957,4.589,4.622,4.361,5.270754192774693,24.374087579505186,4.595609565485055,2.8125,3.2,3.1
狄,di2,7,12847,2835,0.6384389746205841,872,737,1479,3801,5715,3075,2.717,3.595,7.077,18.362,34.018,34.167,16.656,4.753107679846401,9.51811335558514,4.978062153028186,3.375,3,3.3
迪,di2,8,460857,405047,0.06445287237384283,82779,40445,49399,174401,344002,174940,257.879,197.293,236.359,842.517,2047.631,1943.778,920.91,3.0353114741862712,24.50271073295904,4.593413655103403,4.1875,3.7,3.6
荻,di2,10,3289,8809,-0.45627376425855515,351,482,922,2368,4965,3013,1.093,2.351,4.411,11.44,29.554,33.478,13.721,4.832062687299422,0.38586946036155967,5.858277675434597,3.375,3.3,3.3
敌,di2,10,3184,438,0.7581446714522363,309,262,419,986,1369,279,0.963,1.278,2.005,4.763,8.149,3.1,3.376,5.358922686674625,271.5877885178111,3.5644936037402304,1.625,1.6,2.6
涤,di2,10,5052,2663,0.30965651328580684,2269,1222,1406,1170,1044,665,7.069,5.961,6.727,5.652,6.214,7.389,6.502,5.124822940185296,12.669380615204542,4.864251163668688,2.625,3,2.8
笛,di2,11,24310,39101,-0.23325605967418903,889,1056,3254,13857,29141,15202,2.769,5.151,15.569,66.942,173.458,168.911,72.133,4.135886610949847,16.33514048863936,4.761072634354074,3.6875,3.7,3
嫡,di2,14,83,1150,-0.8653690186536902,13,24,79,283,497,337,0.04,0.117,0.378,1.367,2.958,3.744,1.434,5.6136794261059535,3.151267259619404,5.381819305734568,2.875,3.1,3.2
镝,di2,16,3272,1239,0.45067612502771004,110,975,1331,789,865,441,0.343,4.756,6.368,3.812,5.149,4.9,4.221,5.282246306789284,0,6,2.5625,2.6,3.4
邸,di3,7,61,51,0.08928571428571429,4,3,6,27,57,15,0.012,0.015,0.029,0.13,0.339,0.167,0.115,5.952725132615821,2.701086222530918,5.431670797225015,2.875,2.9,2.8
砥,di3,10,884,103,0.7912867274569402,239,141,190,192,177,48,0.745,0.688,0.909,0.928,1.054,0.533,0.81,5.7423214251308154,1.4148546879923856,5.617108997459784,3,2.5,3.3
地,di4,6,87147,44182,0.32715546452040295,52807,22159,18387,17560,14564,5903,164.508,108.093,87.976,84.831,86.69,65.589,99.615,3.9973372684688635,5374.840024952892,2.2695536635617337,2.375,2.7,2.6
弟,di4,7,444468,487850,-0.04653133372947857,368356,159051,117187,129558,121041,37973,1147.526,775.859,560.703,625.884,720.482,421.922,708.729,3.148907448846552,187.78980404262572,3.72402146431547,2.5625,3.3,2.6
帝,di4,9,46229,6922,0.7395345336870426,10407,5274,5001,9914,14384,8071,32.421,25.727,23.928,47.894,85.619,89.678,50.878,4.285016775180604,265.54250030548,3.5742335326917,3.625,3,3.6
娣,di4,10,22018,2319260,-0.9811914689327794,1274570,452714,285105,205629,98345,18650,3970.623,2208.361,1364.139,993.377,585.387,207.222,1554.852,2.8080317175264864,4.37318721743101,5.26976802708798,3.375,3.2,2.9
第,di4,11,7136,2118,0.5422519991355089,3913,922,899,1375,1380,768,12.19,4.498,4.301,6.643,8.214,8.533,7.397,5.075875846814175,1164.1038503340985,2.9336353625204175,2.9375,2.9,2.9
谛,di4,11,603,313,0.3165938864628821,40,34,53,234,354,201,0.125,0.166,0.254,1.13,2.107,2.233,1.003,5.698319050706424,6.495469249419588,5.125201173215398,3.375,3.8,3.7
棣,di4,12,16865,6488,0.4443540444482508,11329,2307,1997,2600,2961,2163,35.293,11.254,9.555,12.56,17.625,24.033,18.387,4.7124893896962545,1.0932968043577524,5.679169189551389,3.5625,3.2,3.4
典,dian3,8,144966,43362,0.5395055435198165,67496,27825,23044,21295,27880,20782,210.268,135.732,110.258,102.874,165.952,230.911,159.333,3.7949770812459,164.25176696057056,3.781853888107842,3.8125,3.3,3.6
点,dian3,9,15932,17215,-0.038706368600476666,11524,3662,2825,3153,7429,4448,35.9,17.863,13.517,15.232,44.22,49.422,29.359,4.517712537836982,1662.325635237599,2.7790227190651513,2.75,2.9,3.1
电,dian4,5,17070,3820,0.6342747726184778,5620,4899,5092,3538,1465,273,17.508,23.898,24.364,17.092,8.72,3.033,15.769,4.775492835272923,1162.5603724926523,2.93421107798946,2.375,2.5,2.6
佃,dian4,7,28326,19488,0.18484125988204292,27236,10636,6279,2761,857,299,84.847,51.883,30.043,13.338,5.101,3.322,31.422,4.489160198550639,10.740033313396745,4.930330670737139,2.25,2.6,2.4
甸,dian4,7,787,884,-0.058049072411729505,229,92,98,330,602,320,0.713,0.449,0.469,1.594,3.583,3.556,1.727,5.56431486205837,14.855974223920049,4.799807068863996,3.0625,3,2.7
店,dian4,8,1208,1790,-0.1941294196130754,1895,437,241,247,159,19,5.903,2.132,1.153,1.193,0.946,0.211,1.923,5.534171184642563,142.45014245014244,3.843299016150781,2,2.6,2.7
钿,dian4,10,13838,7827,0.27745211170090006,4643,2076,1922,3604,5963,3466,14.464,10.127,9.196,17.411,35.494,38.511,20.867,4.66021079505175,0.9003620741769726,5.721163645449222,2.5,2.7,2.5
殿,dian4,13,579379,134694,0.6227444532981922,411718,151561,85631,39809,18320,7371,1282.611,739.322,409.718,192.314,109.048,81.9,469.152,3.3277617120873755,26.496369611493762,4.56072464296156,3.25,3.1,3.5
刁,diao1,2,1458,5451,-0.5779418150238819,3067,1153,848,722,881,238,9.555,5.624,4.057,3.488,5.244,2.644,5.102,5.214527796693612,6.752715556327294,5.110546149808851,1.875,1.6,2.7
雕,diao1,16,6274,1147,0.6908772402641153,221,226,471,1545,3423,1603,0.688,1.102,2.254,7.464,20.375,17.811,8.282,5.032358435916989,58.26628851459551,4.227192269118343,3.0625,2.6,3.3
迭,die2,8,139,153,-0.04794520547945205,73,21,31,53,81,32,0.227,0.102,0.148,0.256,0.482,0.356,0.262,5.898940645091884,13.183873229019955,4.848205158976733,2.5,2.8,2.9
叠,die2,13,1263,1339,-0.029208301306687164,319,153,195,642,971,322,0.994,0.746,0.933,3.101,5.78,3.578,2.522,5.453210648368742,30.612310522017065,4.5001437607155985,2.75,2.6,2.9
蝶,die2,15,2361,156355,-0.97024874618816,9435,6132,7026,20585,65194,50070,29.393,29.912,33.617,99.444,388.06,556.333,189.46,3.7201962200058962,24.052529695870554,4.601148414407993,3.6875,3.3,2.5
丁,ding1,2,232436,148940,0.21893354589696257,115268,47864,40832,67960,67706,41747,359.09,233.483,195.368,328.309,403.012,463.856,330.52,3.4794902662708798,120.51989478626047,3.915352615163755,3.1875,2.9,2.7
叮,ding1,5,1003,1476,-0.190802743041549,80,37,48,685,929,695,0.249,0.18,0.23,3.309,5.53,7.722,2.87,5.412289034981089,23.280790775147434,4.614737173293217,2.25,2.8,2.5
玎,ding1,6,1221,2403,-0.326158940397351,106,143,437,1355,990,593,0.33,0.698,2.091,6.546,5.893,6.589,3.691,5.328734567052842,0,6,3.125,3.1,2.9
顶,ding3,8,58824,7741,0.7674153083452264,27613,11128,9736,8830,7270,1998,86.022,54.283,46.584,42.657,43.274,22.2,49.17,4.299555898972248,183.93110943901013,3.7329900249076733,3.125,2.9,3
鼎,ding3,12,107706,5034,0.9106971793507185,30538,7592,9099,17169,27358,21086,95.134,37.034,43.536,82.942,162.845,234.289,109.297,3.9574362999003743,19.16484986462413,4.6954050071405184,4.3125,3.5,3.8
订,ding4,4,154,73,0.3568281938325991,45,17,18,69,60,18,0.14,0.083,0.086,0.333,0.357,0.2,0.2,5.920818753952375,102.31971857254024,3.98581678545032,2.5625,2.4,2.7
钉,ding4,7,2262,496,0.640319071791153,268,188,265,886,893,258,0.835,0.917,1.268,4.28,5.315,2.867,2.58,5.446116973356125,29.26176741075161,4.519105711001482,2.3125,2.3,2.5
定,ding4,8,1150343,484273,0.40747796424358995,699937,341210,277120,167301,105348,42658,2180.489,1664.439,1325.933,808.217,627.071,473.978,1180.021,2.9277423800299776,2281.3888728109946,2.641610358634788,3.625,3.2,3.3
锭,ding4,13,3291,1801,0.29261586802827966,1302,704,613,1024,933,515,4.056,3.434,2.933,4.947,5.554,5.722,4.441,5.264321274094096,6.238222942511881,5.140368044437053,2.75,2.6,2.5
东,dong1,5,8220212,1528281,0.6864579992004918,1426760,1775361,2294235,2053810,1618995,555684,4444.735,8660.298,10977.201,9921.787,9636.875,6174.267,8302.527,2.0807373978314327,894.0595396577338,3.048148074310059,4.0625,3.9,3.3
冬,dong1,5,1401055,2940441,-0.35457501285271253,921846,786033,971817,933801,598305,138211,2871.794,3834.307,4649.842,4511.116,3561.339,1535.678,3494.013,2.4565512045197977,140.7137298785154,3.8485880712654903,3.75,2.9,3.1
咚,dong1,8,1420,613,0.39695031972454503,19,32,91,831,804,256,0.059,0.156,0.435,4.014,4.786,2.844,2.049,5.515842575634619,12.73369219193147,4.862212690511326,2.875,3.1,2.3
岽,dong1,8,489,83,0.7097902097902098,23,29,124,147,151,98,0.072,0.141,0.593,0.71,0.899,1.089,0.584,5.800244822746525,0,6,3.3125,2.8,3
董,dong3,12,16530,5149,0.5249780893952674,1270,1247,2321,5590,7158,4094,3.956,6.083,11.105,27.005,42.607,45.489,22.708,4.62510508143302,35.821548236898124,4.433897954653152,3.375,3,3.2
懂,dong3,15,6705,938,0.7545466439879629,373,376,845,2414,2831,803,1.162,1.834,4.043,11.662,16.851,8.922,7.412,5.075100735985717,110.74453512376763,3.9517737068861902,3.125,3.3,3
动,dong4,6,35822,3459,0.8238843206639342,10242,10327,9632,5911,2749,421,31.907,50.376,46.086,28.556,16.363,4.678,29.661,4.513413684856737,3240.981909153467,2.48918941292265,2.8125,2.9,2.6
侗,dong4,8,1924,542,0.5604217356042174,172,73,207,558,1009,446,0.536,0.356,0.99,2.696,6.006,4.956,2.59,5.444905551421681,7.2028965934157805,5.086032763176809,2.875,2.8,2.7
栋,dong4,9,1220003,32962,0.9473856013535893,261733,127249,181976,272063,275180,134882,815.368,620.727,870.699,1314.314,1637.976,1498.689,1126.296,2.947962034008915,10.61141015994289,4.93511503370742,4.0625,3.6,3.5
洞,dong4,9,4437,794,0.6964251577136302,1538,640,738,1163,924,229,4.791,3.122,3.531,5.618,5.5,2.544,4.184,5.285335007137463,126.30793669168386,3.8951445205100703,2.6875,2.8,2.9
都,dou1,10,51169,8002,0.7295296682496494,13858,7189,7788,11286,13686,5335,43.171,35.068,37.263,54.522,81.464,59.278,51.794,4.2774154319161415,2374.3191011814038,2.624278038850427,2.8125,3.1,2.8
斗,dou4,4,80464,5445,0.8732379610983715,47970,14362,9255,6921,5894,1585,149.439,70.059,44.282,33.435,35.083,17.611,58.318,4.226813500320772,472.6900889429106,3.3245057019565127,2.1875,2.1,3.3
豆,dou4,7,18815,42399,-0.3852713431567942,4462,2027,2483,9201,34433,8673,13.9,9.888,11.88,44.449,204.958,96.367,63.574,4.189942310634237,87.59236750207404,4.052603692272274,2.625,3.3,2.4
窦,dou4,13,188,193,-0.013123359580052493,12,7,20,84,165,94,0.037,0.034,0.096,0.406,0.982,1.044,0.433,5.843753809602656,7.267208170142707,5.0826411266027804,3.0625,3,3
独,du2,9,432,539,-0.1101956745623069,264,81,100,244,236,46,0.822,0.395,0.478,1.179,1.405,0.511,0.798,5.74521031260279,319.6928479095522,3.4939107255971336,2.5,1.9,2.9
读,du2,10,991,209,0.6516666666666666,506,200,141,145,161,47,1.576,0.976,0.675,0.7,0.958,0.522,0.901,5.721017883134557,227.53435845986635,3.641048497704471,2.875,2.8,2.9
笃,du3,9,17821,3225,0.6935284614653616,10129,4022,2868,2035,1333,651,31.555,19.62,13.722,9.831,7.935,7.233,14.983,4.796341700543754,10.161229122854404,4.952287976376942,4,3.4,3.7
堵,du3,11,117,45,0.4444444444444444,67,31,21,29,11,3,0.209,0.151,0.1,0.14,0.065,0.033,0.116,5.95233580539844,29.004521103843903,4.522813300529871,1.75,2.1,2.3
杜,du4,7,26569,29622,-0.05433254435763735,6409,3740,6757,17861,14338,6915,19.966,18.244,32.33,86.285,85.345,76.833,53.167,4.266265216831566,76.40215315158882,4.111246958065849,3.0625,2.9,2.9
度,du4,9,6188,1751,0.5588865096359743,3757,933,846,969,915,494,11.704,4.551,4.048,4.681,5.446,5.489,5.987,5.155709256745657,1614.6707568829463,2.7916471355398502,3.3125,3.1,3.2
镀,du4,14,130,43,0.5028901734104047,25,9,11,55,48,25,0.078,0.044,0.053,0.266,0.286,0.278,0.168,5.932557157223619,5.595107175242615,5.18077814246208,2.375,2.6,2.9
端,duan1,14,174811,207960,-0.08660269456150022,158083,75882,58863,48931,30294,10673,492.47,370.156,281.641,236.382,180.321,118.589,279.927,3.551406518585889,208.75537805560379,3.678286895195667,3.5,3.8,3.4
段,duan4,9,945,12707,-0.8615587459712862,6032,2222,2003,2341,911,165,18.791,10.839,9.584,11.309,5.423,1.833,9.63,4.973466735476703,479.5071160759648,3.318300176258412,3.125,2.8,3.2
兑,dui4,7,650,343,0.30916414904330314,506,86,79,97,166,59,1.576,0.42,0.378,0.469,0.988,0.656,0.748,5.757458571701616,11.318837503939084,4.909430273457726,2.375,2.5,2.8
敦,dun1,12,115407,30290,0.5842055773282909,66755,30167,22038,13996,8519,3885,207.96,147.156,105.445,67.614,50.708,43.167,103.675,3.980157030436732,29.711948447840097,4.5126926298837935,3.9375,3.4,3.4
墩,dun1,15,3076,209,0.8727549467275495,1024,345,370,712,658,170,3.19,1.683,1.77,3.44,3.917,1.889,2.648,5.437945170343621,7.910323937411973,5.050106506774218,2.6875,3,2.6
盾,dun4,9,7884,729,0.8307210031347962,1345,997,1086,2457,2081,640,4.19,4.863,5.196,11.87,12.387,7.111,7.603,5.065350077099289,193.96371540841068,3.710046207428196,2.9375,2.8,3.2
多,duo1,6,232022,188407,0.103739275834921,159711,78260,66856,53408,41571,20302,497.542,381.756,319.885,258.01,247.446,225.578,321.703,3.491196997170035,2842.957560790518,2.5460768886919243,3.4375,3.3,3.2
哆,duo1,9,123,180,-0.18811881188118812,73,14,11,43,76,87,0.227,0.068,0.053,0.208,0.452,0.967,0.329,5.876475019057268,8.489128127954313,5.022773689217933,2.5625,2.7,2.4
夺,duo2,6,12227,1345,0.8017978190391983,3988,1586,1496,3064,2713,735,12.424,7.737,7.158,14.802,16.149,8.167,11.073,4.91818479936772,128.30159557021858,3.888396115931161,1.8125,1.8,2.9
铎,duo2,10,122819,6003,0.9068016332613994,47408,12833,10894,17514,23566,16528,147.688,62.6,52.124,84.609,140.274,183.644,111.823,3.947602356426584,2.4438399156232116,5.462957044610175,3.8125,3,3.9
朵,duo3,6,9736,140501,-0.8703914481785445,37855,23377,18994,28861,27603,13401,117.928,114.034,90.88,139.425,164.304,148.9,129.245,3.8852389399216394,70.87135755307314,4.143444151828373,3.6875,3.6,2.6
舵,duo4,11,4151,449,0.8047826086956522,288,372,531,1362,1633,414,0.897,1.815,2.541,6.58,9.72,4.6,4.359,5.270916242956388,6.688403979600368,5.114163805164974,3.125,3,3
婀,e1,10,3,1707,-0.9964912280701754,166,135,495,694,163,57,0.517,0.659,2.368,3.353,0.97,0.633,1.417,5.61672334959235,1.993658878534725,5.523797688164724,3.4375,3,2.8
俄,e2,9,1791,1390,0.12606098711097138,1073,513,625,529,363,78,3.343,2.502,2.99,2.556,2.161,0.867,2.403,5.468138050904191,82.96193397773533,4.075917566442839,2.875,2.6,2.5
峨,e2,10,637,755,-0.08477011494252873,438,202,234,246,201,71,1.364,0.985,1.12,1.188,1.196,0.789,1.107,5.6763354643919,8.296193397773532,5.031694849808287,3.6875,3.1,3.3
娥,e2,10,14836,4833231,-0.9938796225382198,2270356,1287870,805013,363886,106553,15550,7072.76,6282.293,3851.737,1757.903,634.244,172.778,3295.286,2.481975114076485,9.196555471950507,4.99154651374495,4.125,3.5,2.9
鄂,e4,11,3826,2226,0.26437541308658297,1014,831,977,1749,1066,294,3.159,4.054,4.675,8.449,6.345,3.267,4.992,5.22242819530859,28.87589795039005,4.5246790326868584,3.25,2.5,3
谔,e4,11,8,2,0.6,5,0,2,3,0,0,0.016,0,0.01,0.014,0,0,0.007,5.996970529446382,2.3152167621693582,5.479488070415651,2.3125,2.6,2.7
鹗,e4,14,2,0,1,1,0,1,0,0,0,0.003,0,0.005,0,0,0,0.001,5.999565922520682,0.38586946036155967,5.858277675434597,2.375,2.8,2.4
锷,e4,14,2377,248,0.811047619047619,396,396,515,799,392,127,1.234,1.932,2.464,3.86,2.333,1.411,2.206,5.494036481981874,1.6077894181731653,5.583727481275167,2.8125,2.5,2.8
恩,en1,10,1580494,521657,0.5036921705434101,819316,358720,299768,237136,208743,184008,2552.386,1749.854,1434.297,1145.585,1242.518,2044.533,1694.862,2.7706094911576846,130.35956602548023,3.881538295007297,4.125,3.9,2.9
儿,er2,2,75394,287624,-0.5846266576313021,129853,58647,46965,35243,46125,46289,404.526,286.083,224.713,170.256,274.554,514.322,312.409,3.5038885362840997,1207.0639835876857,2.9179100632453667,3.125,3.2,2.6
而,er2,6,1626,1739,-0.033580980683506685,1009,367,337,451,585,631,3.143,1.79,1.612,2.179,3.482,7.011,3.203,5.376440609994563,3178.1494986912594,2.497689049018204,2.9375,2.8,2.5
尔,er3,5,132058,84814,0.21784278283964734,77508,32871,29675,26140,26930,23683,241.458,160.346,141.986,126.28,160.298,263.144,182.252,3.7369512768002098,390.5642054626253,3.4071970157467764,3.4375,3.2,3
洱,er3,9,108,73,0.19337016574585636,16,6,5,20,56,78,0.05,0.029,0.024,0.097,0.333,0.867,0.233,5.909036923404268,1.4148546879923856,5.617108997459784,3.3125,2.7,2.7
二,er4,2,736402,835214,-0.06287286461832917,546234,240639,258104,322571,173437,29493,1701.664,1173.849,1234.947,1558.314,1032.363,327.7,1171.473,2.930897149539126,1538.01135742445,2.812758175198692,2.125,2.6,2.3
贰,er4,9,730,2146,-0.49235048678720444,2100,222,161,212,154,28,6.542,1.083,0.77,1.024,0.917,0.311,1.775,5.556737012541305,0.9003620741769726,5.721163645449222,2.4375,2.4,2.6
发,fa1,5,4484512,708266,0.7272111382385306,2325363,1077432,808582,515992,340930,121017,7244.121,5255.766,3868.813,2492.715,2029.345,1344.633,3705.899,2.430989246811071,3593.409349617025,2.444372464746157,3.9375,3.2,2.8
法,fa3,8,1168919,67401,0.890965122298434,705186,260994,140609,78046,37165,13917,2196.841,1273.141,672.77,377.034,221.22,154.633,815.94,3.0878098389703887,2158.8110075694726,2.665584249756798,3.4375,2.8,3.3
帆,fan1,6,478220,285785,0.25187662384408477,12141,16379,35450,153121,309806,236485,37.822,79.898,169.617,739.715,1844.083,2627.611,916.458,3.037413808041261,14.405793186831561,4.812315936568332,4.1875,3.8,3.4
番,fan1,12,4343,4410,-0.007654518450816863,1666,599,577,2064,2962,883,5.19,2.922,2.761,9.971,17.631,9.811,8.048,5.043447408082601,73.31519746869634,4.128922363872276,2.9375,3.1,2.9
蕃,fan1,15,1208,789,0.20981472208312468,259,89,108,377,679,487,0.807,0.434,0.517,1.821,4.042,5.411,2.172,5.498666821354433,5.144926138154129,5.211483332954073,2.9375,2.7,2.8
藩,fan1,18,10688,1178,0.8014495196359346,6486,1095,830,1113,1457,906,20.206,5.341,3.971,5.377,8.673,10.067,8.939,5.002657309398377,9.003620741769726,4.999842781643538,3.375,2.8,3.2
翻,fan1,18,3286,9231,-0.47495406247503397,1616,1358,1553,3223,4082,674,5.034,6.624,7.431,15.57,24.298,7.489,11.074,4.918148828482546,172.48364878161718,3.760741452161635,2.25,2.7,2.6
凡,fan2,3,1249979,792564,0.22394387780330696,457005,257671,229874,271357,453229,372479,1423.692,1256.932,1099.876,1310.903,2697.792,4138.656,1987.975,2.7013706756137656,127.91572610985703,3.8896941009077075,3.5,3.6,2.9
钒,fan2,8,8937,4228,0.35769084694265096,89,184,543,2050,4690,5605,0.277,0.898,2.598,9.903,27.917,62.278,17.312,4.737264220333514,1.0932968043577524,5.679169189551389,2.875,2.4,3
樊,fan2,15,10348,6640,0.2182717212149753,587,486,945,3814,6440,4721,1.829,2.371,4.522,18.425,38.333,52.456,19.656,4.684953775077655,7.2028965934157805,5.086032763176809,3.375,2.8,3.1
璠,fan2,16,8466,22648,-0.455807675001607,1251,750,1673,5742,10475,11227,3.897,3.659,8.005,27.739,62.351,124.744,38.399,4.404514801016897,0.9646736509038991,5.706709579325387,3.4375,3.1,2.8
繁,fan2,17,138462,67760,0.3428441194440942,45980,30751,30574,37211,37523,24499,143.24,150.005,146.287,179.763,223.351,272.211,185.81,3.7285998795589377,139.10594046034228,3.8535434503355526,3.5625,3.2,3.4
蘩,fan2,20,45,102,-0.3877551020408163,7,0,6,27,46,61,0.022,0,0.029,0.13,0.274,0.678,0.189,5.924818145381308,0.7074273439961928,5.767657767747678,3,2.9,3
反,fan3,4,4483,1053,0.6195809248554913,2440,2130,784,98,107,11,7.601,10.39,3.751,0.473,0.637,0.122,3.829,5.316142794599654,1177.4163467165724,2.928701241691932,1.8125,2.1,2.5
范,fan4,8,96820,141701,-0.1881637256258359,147897,49300,23515,12583,7643,3385,460.738,240.488,112.512,60.787,45.494,37.611,159.605,3.794240938268996,329.72545387895275,3.4805323788578,3.4375,3.1,3.1
梵,fan4,11,4942,4257,0.0744646157190999,195,119,309,730,2368,5486,0.607,0.58,1.478,3.527,14.095,60.956,13.541,4.837405725557578,8.231881821046606,5.034709763633301,3.625,3.3,3.5
方,fang1,4,1775954,1290319,0.15837957024700672,983150,546074,506559,546774,356375,126632,3062.773,2663.776,2423.727,2641.42,2121.28,1407.022,2386.666,2.622026424821558,2651.051815837369,2.5764179949307606,3.5,3.2,3.2
